,designation,country,MTE: designation
111,Briccotto,Italy,250.0
112,Bernkasteler alte Badstube am Doctorberg Trockenbeerenauslese - 375 ml,Germany,250.0
113,Vigna Rionda Riserva Dieci Anni,Italy,250.0
114,Kanzem Altenberg Eiswein First Growth,Germany,250.0
115,Heritage Single Vineyard,US,250.0
116,Backus Vineyard,US,250.0
117,Bernkasteler Badstube Trockenbeerenauslese,Germany,250.0
118,Bricco Rocche Bricco Rocche,Italy,246.5
119,Cave Privée Brut Rosé,France,246.0
120,Cask 23 Estate Grown,US,245.0
121,Deidesheimer Hohenmorgen Trockenbeerenauslese - 375 ml,Germany,245.0
122,Sperss,Italy,244.5
123,St. Eden,US,242.14285714285717
124,Vecina,US,242.14285714285717
125,Charmes Chambertin,France,240.0
126,Special Edition Tawny,Portugal,240.0
127,Forster Kirchenstück Beerenauslese 375 ml,Germany,239.0
128,Alabaster,Spain,237.14285714285717
129,Berg Roxheim Erste Lage Trockenbeerenauslese,Germany,237.0
130,Johannisberg Wallhausen Erste Lage Trockenbeerenauslese,Germany,237.0
131,Erdener Prälat GG Reserve Alte Reben Trocken,Germany,236.0
132,La Grand Année Brut Rosé,France,235.0
133,Attunga 1865,Australia,235.0
134,La Grande Dame Brut Rosé,France,234.5
135,Serrig Schloss Saarsteiner Beerenauslese Goldkapsel,Germany,231.0
136,Melbury,US,230.625
137,Volturno,Argentina,230.0
138,Quinta de Vargellas Vinha Velhas Vintage,Portugal,230.0
139,Kupra,Italy,230.0
140,Ried Loibenberg Smaragd,Austria,229.0
141,Conteisa,Italy,228.75
142,Casteller Schlossberg Trockenbeerenauslese,Germany,228.0
143,Hochheimer Domdechaney Trockenbeerenauslese,Germany,227.0
144,Clos des Goisses,France,225.0
145,H.B. Vineyard,US,225.0
146,Parcela El Picón,Spain,225.0
147,Block 42 Kalimna,Australia,225.0
148,Herb Lamb Vineyard,US,225.0
149,Bin 60A,Australia,225.0
150,Vargellas Vinha Velha Vintage,Portugal,225.0
151,Cariad,US,225.0
152,Darmagi,Italy,224.0
153,Solaia,Italy,223.5
154,RunRig,Australia,223.33333333333331
155,Clos de Vougeot,France,223.25
156,Cuvée Elisabeth Salmon Brut Rosé,France,222.0
157,Aurus,Spain,220.75
158,Palazzi,Italy,220.0
159,Noblesse d'Or Vintage Brut,France,220.0
160,N.P.U. Brut,France,220.0
161,Les Millandes Premier Cru,France,218.0
162,Villa dei Misteri,Italy,217.0
163,Clos Jebsal Séléction des Grains Nobles,France,214.0
164,Marchiori Vineyard Block C2,Argentina,213.33333333333331
165,Clos des Cortons Faiveley,France,213.33333333333331
166,Colheita Tawny,Portugal,208.83333333333331
167,Backus,US,208.33333333333331
168,Vinothek,Austria,208.0
169,Cave Privée Brut,France,208.0
170,Les Pucelles Premier Cru,France,207.45454545454547
171,Amour de Deutz Blanc de Blancs Brut,France,206.0
172,Sassicaia,Italy,205.3076923076923
173,Les Greffieux Ermitage,France,205.0
174,Comtes de Champagne Brut Rosé,France,205.0
175,Abtsberg Beerenauslese,Germany,204.0
176,Cask 23 Estate,US,202.5
177,Madonna del Piano Riserva,Italy,202.5
178,IX Estate,US,201.0
179,Dizy Terres Rouges Extra Brut Rosé,France,200.0
180,Bussia Romirasco,Italy,200.0
181,Les Carruades de Lafite,France,200.0
182,Cobos Volturno Marchiori Vineyard,Argentina,200.0
183,Insignia Estate Grown,US,200.0
184,Palmes d'Or Rosé Brut,France,200.0
185,Ancient Way Vineyard Summer's Blocks,Australia,200.0
186,Vigna Serè,Italy,200.0
187,R.D. Extra Brut,France,200.0
188,Clos des Goisses Brut,France,200.0
189,EXILE,Australia,200.0
190,Prior Terrae,Spain,200.0
191,Il Decennale,Italy,200.0
192,Adelaide,Portugal,200.0
193,Bernkasteler alte Badstube am Doctorberg Trockenbeerenauslese,Germany,200.0
194,Insignia,US,199.5
195,Herrenberg Eiswein,Germany,199.5
196,Termanthia,Spain,199.375
197,Ornellaia,Italy,199.0909090909091
198,PV Petit Verdot,Spain,199.0
199,Belle Hélène,France,199.0
200,Hochheimer Domdechaney Beerenauslese,Germany,198.5
201,Hillside Select,US,197.27272727272728
202,Rüdesheimer Berg Rottland Beerenauslese,Germany,197.0
203,Scrio,Italy,196.11111111111111
204,Old Bastard,Australia,196.0
205,Valbuena,Spain,195.0
206,Malleolus de Sanchomartin,Spain,195.0
207,Ardore,US,195.0
208,Millecento,Italy,195.0
209,Era,US,195.0
210,Clos Saint-Jacques Premier Cru,France,194.0
211,Aro,Spain,193.5
212,Crichët Pajé,Italy,190.0
213,Marchiori Vineyard,Argentina,190.0
214,La Combe d'Orveau Premier Cru,France,190.0
215,Sugarille,Italy,190.0
216,El Carretil,Spain,190.0
217,Héritiers Paul Chanson,France,187.0
218,N.P.U.,France,185.0
219,Beckstoffer-Tokalon Vineyard,US,185.0
220,Eisele Vineyard,US,185.0
221,Velvet Glove,Australia,185.0
222,Treinta y Dos,Argentina,183.33333333333331
223,Carmín de Peumo,Chile,183.0
224,Mazzano,Italy,182.7142857142857
225,Cuvée Louise Brut,France,182.5
226,Kiedrich Gräfenberg Auslese,Germany,182.0
227,30 Years Old Tawny,Portugal,180.66666666666663
228,Louise,France,180.0
229,Cuvée William Deutz Brut Rosé,France,180.0
230,Lavinia Maria,Italy,180.0
231,Essenzia di Caiarossa,Italy,180.0
232,Lancement,France,180.0
233,Clos des Varoilles Vieilles Vignes Premier Cru,France,180.0
234,Stropa,Italy,180.0
235,Dom Ruinart Blanc de Blancs Brut,France,180.0
236,Comtes de Champagne Blanc de Blancs,France,180.0
237,Red Rock Terrace,US,179.16666666666663
238,Gravelly Meadow,US,179.16666666666663
239,Malleolus de Sanchomartín,Spain,179.0
240,Martha's Vineyard,US,177.5
241,Abstberg Beerenauslese,Germany,177.0
242,Occhio di Pernice,Italy,176.28571428571428
243,Purple Mountain,US,175.0
244,HaLo,US,175.0
245,J. Schram 50 Late Disgorged,US,175.0
246,Brut Cuvée Rare Millesimée,France,175.0
247,Lupi e Sirene Riserva,Italy,175.0
248,Volcanic Hill,US,175.0
249,Reserve 50 Late Disgorged,US,175.0
250,Aida,US,175.0
251,Episode,US,175.0
252,Petrucci,Italy,175.0
253,The Armagh,Australia,175.0
254,Leiwener Laurentiuslay Beerenauslese,Germany,175.0
255,Cuvée Palmes d'Or Brut Rosé,France,175.0
256,Cobos Marchiori Vineyard,Argentina,175.0
257,Conde de Aldama Palo Cortado,Spain,175.0
258,Graacher Himmelreich Vat 69 Eiswein,Germany,175.0
259,Monprivato,Italy,175.0
260,Cor Leonis,US,175.0
261,IX Estate Red Wine,US,175.0
262,Colonnello,Italy,175.0
263,Cuvée des Enchanteleurs Brut,France,173.4285714285714
264,L'Apparita,Italy,173.4
265,Corton-Charlemagne,France,173.0
266,Cuvée William Deutz Brut,France,173.0
267,Malleolus de Valderramiro,Spain,172.6
268,Cask 23,US,172.5
269,Château d'Ampuis,France,171.25
270,Le Pavillon,South Africa,171.0
271,Le Pavillon,France,171.0
272,Corton-Charlemagne Grand Cru,France,170.0
273,ERA,US,170.0
274,Casteller Schlossberg Beerenauslese,Germany,169.0
275,Vigneto La Casuccia,Italy,169.0
276,Vigneto Bellavista,Italy,169.0
277,Joy!,US,168.0
278,OPR,US,168.0
279,Salvioni,Italy,167.0
280,Parcela 26 Limited Edition,Argentina,167.0
281,Hattenheimer Wisselbrunnen Auslese,Germany,167.0
282,Clos des Cortons Faiveley Grand Cru,France,167.0
283,La Joie,US,166.66666666666666
284,La Viña de Andres Romeo,Spain,166.0
285,State Lane Vineyard Estate Cuvée,US,165.0
286,Exzellenz Sacrashe Vineyard,US,165.0
287,Les Petits Monts Premier Cru,France,165.0
288,Riserva della Famiglia,Italy,163.0
289,Noble,Spain,162.0
290,Aquilon,Spain,161.5
291,Aszú Essencia,Hungary,161.33333333333334
292,Le Méal,France,161.0
293,Amancio,Spain,160.75
294,Comtes de Champagne Blanc de Blancs Brut,France,160.5
295,Rosalack No. 398 Auslese,Germany,160.0
296,Berncasteler Doctor Beerenauslese Goldkap,Germany,160.0
297,Joy! Rosé,US,160.0
298,Exile,Australia,160.0
299,Les Beaux Monts Premier Cru,France,160.0
300,Runcot Riserva,Italy,160.0
301,Clos Prieur Premier Cru,France,160.0
302,Scharzhofberger #10 Auslese,Germany,160.0
303,Diamant Rosé Brut,France,160.0
304,Guado de' Gemoli,Italy,160.0
305,G & G,Italy,160.0
306,Wehlener Sonnenuhr Vat 10 Riesling Beerenauslese,Germany,160.0
307,G&G;,Italy,160.0
308,Wildenstein R Trocken,Germany,159.5
309,Les Champgains Premier Cru,France,159.33333333333334
310,40-years old Tawny,Portugal,159.0
311,Aphrodite,Australia,159.0
312,Les Morgeots Premier Cru,France,159.0
313,Kai,Chile,157.5
314,Finca El Bosque,Spain,156.61538461538458
315,Le Clarence de Haut-Brion,France,156.0
316,Le Rognet,France,156.0
317,Outer Limits,US,155.0
318,Lake William Estate Grown Cave Fermented,US,155.0
319,Lake William,US,155.0
320,Pecchia,Italy,155.0
321,Le Pigeonnier,France,154.83333333333334
322,Bin 707,Australia,154.66666666666666
323,La Nieta,Spain,154.07142857142858
324,Sous le Dos d'Ane Premier Cru,France,153.33333333333334
325,Bricco Asili Bricco Asili,Italy,153.0
326,Les Varennes,France,152.0
327,Lupicaia,Italy,151.8
328,Ambassador's 1953 Vineyard,US,151.66666666666666
329,Cuvée R. Lalou Brut,France,151.4
330,Cerretalto,Italy,151.25
331,Les Baudes Premier Cru,France,151.25
332,Pergole Vece Riserva,Italy,151.0
333,W.P. Foley II,US,150.0
334,Les Pavots,US,150.0
335,Dom Pérignon Brut,France,150.0
336,Il Vino Prêt-a-Porter Riserva,Italy,150.0
337,Octavius Riserva,Italy,150.0
338,Celebris Brut,France,150.0
339,Select Whole Cluster,US,150.0
340,Select Private Reserve,US,150.0
341,Celebris Vintage Extra Brut,France,150.0
342,Dom Ruinart Brut,France,150.0
343,Vice,US,150.0
344,Bucephalus,US,150.0
345,Transcendent,US,150.0
346,Segassia Vineyard,US,150.0
347,Poggio al Vento,Italy,150.0
348,Versa,US,150.0
349,M5 Stagecoach Vineyard,US,150.0
350,The Peake,Australia,150.0
351,Ancient Vine Angelica Marcelina's Vineyard,US,150.0
352,Stagecoach Vineyard M5,US,150.0
353,Vyborny Vineyard Plus,US,150.0
354,Reserva Real,Spain,150.0
355,Ares,Australia,150.0
356,Il Puro Gran Selezione,Italy,150.0
357,Green Room Vineyard Reserve,US,150.0
358,Poggio al Vento Riserva,Italy,150.0
359,La Mordorée,France,150.0
360,Le Vigne,Italy,150.0
361,Paraje de Dueva Baja,Spain,150.0
362,The Maiden,US,150.0
363,Single Vineyard Selection Game Ranch Plus,US,150.0
364,Pavillon Blanc du Château Margaux,France,150.0
365,Les Amandiers,France,150.0
366,Yarden Rom,Israel,150.0
367,Il Mio Brunello Riserva,Italy,150.0
368,Cuvée Garance Blanc de Rouges,France,150.0
369,Beato Riserva,Italy,150.0
370,Single Vineyard Selection Vyborny Vineyard Plus,US,150.0
371,Júlio B. Bastos Grande Reserva,Portugal,150.0
372,Magnum Gran Reserva Brut Nature,Spain,150.0
373,Denary Cuvée,US,150.0
374,Plus Single Vineyard Selection Vyborny Vineyard,US,150.0
375,FURTH,US,150.0
376,Plus Game Ranch,US,150.0
377,Winston Hill,US,150.0
378,Beau Melange,US,150.0
379,Diadema,Italy,150.0
380,Château de Mercuès Icône Wow,France,150.0
381,Private Stock 16 Rows,US,150.0
382,Poggio All'Oro Riserva,Italy,150.0
383,Paraje de Cueva Baja,Spain,150.0
384,Monte Bello Estate,US,150.0
385,Pickett Road Vineyard,US,150.0
386,Yoeman Vineyard Plus,US,150.0
387,Estate Grown Celebrating 150 Years,US,150.0
388,La Grand Année Brut,France,150.0
389,Gravas del Maipo,Chile,150.0
390,Icono,Argentina,150.0
391,Sua Sponte,US,150.0
392,Archery Summit Estate,US,150.0
393,Estate Grown The Traveler,US,150.0
394,Les Mazoyères,France,149.0
395,Franchetti,Italy,149.0
396,Annata,Italy,149.0
397,Cuvée des Enchant-eleurs Brut,France,149.0
398,Vinha Maria Teresa,Portugal,148.75
399,Clos des Cortons,France,148.5
400,Camarcanda,Italy,148.4
401,Coeur de Cuvée Premier Cru Brut,France,148.0
402,Bricco Rocche,Italy,147.0
403,Rennina,Italy,147.0
404,Cuvée Julia,US,147.0
405,16 Rows,US,146.875
406,La Grande Dame Brut,France,146.66666666666666
407,Campolongo di Torbe,Italy,146.0
408,Lavaux Saint-Jacques Premier Cru,France,145.2
409,Fortis,US,145.0
410,Hengst Grand Cru Sélection de Grains Nobles,France,145.0
411,California Monte Bello,US,145.0
412,Magrez Fombrauge,France,145.0
413,Aux Malconsorts Premier Cru,France,145.0
414,Journey of Hope Icewine,Canada,145.0
415,Melanson Vineyard,US,145.0
416,Viña El Pisón,Spain,145.0
417,Corton-Rognet,France,145.0
418,En Grands Champs,France,144.4
419,Erdener Treppchen Trockenbeerenauslese,Germany,144.0
420,Belle Epoque Brut,France,144.0
421,Martin Stelling Vineyard,US,143.75
422,2V Premium,Spain,143.0
423,Trasnocho,Spain,143.0
424,Graacher Himmelreich Vat 46 Eiswein,Germany,143.0
425,Cuvée Paradis Brut,France,143.0
426,Beckstoffer To Kalon Vineyard,US,142.72727272727272
427,Les Rocoules,France,142.5
428,Le Gréal,France,142.5
429,Les Combettes Premier Cru,France,142.14285714285714
430,Kiedrich Turmberg Auslese,Germany,142.0
431,Schidione,Italy,141.83333333333334
432,Piggott Range,Australia,141.66666666666666
433,40-year old tawny,Portugal,141.46153846153842
434,Cuvée Annamaria Clementi,Italy,141.4
435,De L'Orée,France,140.4
436,The Pict,Australia,140.0
437,Royal City Stoneridge Vineyard,US,140.0
438,Persiera Riserva,Italy,140.0
439,La Chapelle d'Ausone,France,140.0
440,Grand Muscadelle,Australia,140.0
441,Occidental Vineyard,US,140.0
442,Cuvée Icône du Château de Mercuès,France,140.0
443,Cuvée Icône du Château de Haute-Serre,France,140.0
444,Joyau de France,France,140.0
445,Graacher Himmelreich Eiswein Vat 28,Germany,140.0
446,Royal City,US,140.0
447,Corton les Renardes Grand Cru,France,140.0
448,Cuvée L,France,140.0
449,Angelica,US,140.0
450,La Mala,Spain,140.0
451,101 Rangs,France,140.0
452,Les Beaumonts Premier Cru,France,140.0
453,Clos du Roi,France,140.0
454,Giorgio Bartholomäus,Italy,140.0
455,Diamant Blanc Brut,France,140.0
456,Fonteny Premier Cru,France,140.0
457,Old Bones Stoneridge Vineyard,US,140.0
458,Palmes d'Or Vintage Brut,France,139.0
459,Guardiavigna,Italy,139.0
460,Gravel Hill,South Africa,139.0
461,Elevation 1147 Estate,US,138.75
462,50 & 50,Italy,138.33333333333334
463,Hecklinger Schlossberg R GG Trocken,Germany,138.0
464,El Bosque,Spain,138.0
465,Clavoillon Premier Cru,France,137.875
466,Château Corton Grancey,France,137.5
467,Poggio all'Oro Riserva,Italy,137.5
468,Révélation,US,137.5
469,Fleur de Champagne Brut,France,137.42857142857142
470,Les Pucelles,France,137.0
471,Hattenheimer Wisselbrunnen Beerenauslese,Germany,137.0
472,Les Folatières,France,137.0
473,Force One,France,137.0
474,Maria Adelaide,Italy,136.0
475,El Anejón,Spain,136.0
476,Cà Florian Riserva,Italy,135.0
477,Bonny's Vineyard,US,135.0
478,The Standish Single Vineyard,Australia,135.0
479,Quintet,Australia,135.0
480,Riserva Gemini,Italy,135.0
481,The Montelena Estate,US,135.0
482,Reserva Selección,Spain,135.0
483,Palmes d'Or Brut,France,135.0
484,Mézes Mály Aszú 6 Puttonyos,Hungary,135.0
485,Ghielmetti Estate Vineyard,US,135.0
486,The Relic,Australia,135.0
487,Reserve Red Wine,US,135.0
488,Monier de la Sizeranne,France,135.0
489,Very Old White Dry,Portugal,135.0
490,Missouri Hopper Vineyard,US,135.0
491,Campogiovanni Il Quercione Riserva,Italy,135.0
492,Vigna del Lago Riserva,Italy,134.0
493,Fonteny,France,134.0
494,Vigna Rionda Riserva,Italy,134.0
495,Moose Valley Vineyard,US,133.75
496,Les Estournelles Saint-Jacques Premier Cru,France,133.0
497,Family Reserve,Canada,133.0
498,Family Reserve,Chile,133.0
499,Family Reserve,US,133.0
500,Zemis,Spain,133.0
501,Les Bessards,France,133.0
502,Diamant Rosé,France,132.5
503,Grand Ciel,US,132.5
504,Noemía,Argentina,132.0
505,Premier Cru Perrières,France,132.0
506,Beckstoffer To Kalon,US,131.66666666666666
507,Figuero Noble,Spain,131.5
508,GC,France,131.125
509,Tinto Figuero Noble,Spain,131.0
510,Marquis de Laguiche Premier Cru Morgeot,France,131.0
511,Profile,US,131.0
512,Ugolaia,Italy,131.0
513,Sélection de Grains Nobles,France,131.0
514,Tinata,Italy,130.0
515,Pavillon Rouge du Château Margaux,France,130.0
516,Clone 4,US,130.0
517,Estate Grown Cave Fermented Finch Hollow Unfiltered,US,130.0
518,Bernkasteler Badstube Beerenauslese Goldkap,Germany,130.0
519,40-Year-Old Tawny,Portugal,130.0
520,Altos Lanzaga Gran Viñedo,Spain,130.0
521,Clos du Meix des Ouches,France,130.0
522,Cuvée Icône du Château Leret Monpezat,France,130.0
523,Lot No. 1,US,130.0
524,Partida Bellvisos,Spain,130.0
525,Bue Apis,Italy,130.0
526,L'Intemporelle Brut Rosé,France,130.0
527,Sergio Zingarelli Gran Selezione,Italy,130.0
528,Tenuta Montebello Picconero,Italy,130.0
529,Diamond Mountain Vineyard MF Claret,US,130.0
530,Domaine de Saint Pierre,France,130.0
531,Pian delle Vigne Riserva Vignaferrovia,Italy,130.0
532,Columella,South Africa,130.0
533,Cuvée Guy Joly Mémory Brut,France,130.0
534,Mount Edelstone Vineyard,Australia,130.0
535,Hacienda Pradolagar,Spain,130.0
536,Extra Cuvée de Réserve Blanc de Blancs Brut,France,129.75
537,La Chapelle,France,129.5
538,Vigna Rionda,Italy,129.0
539,Dürrau,Austria,129.0
540,Rainin Vineyard,US,128.75
541,Matallana,Spain,128.33333333333334
542,Saffredi,Italy,128.0
543,Il Sogno,Italy,128.0
544,Yountville Selection,US,128.0
545,Les Fontenys Premier Cru,France,128.0
546,L'Eminence,France,128.0
547,Altos Lanzaga,Spain,127.0
548,La Demoiselle,France,126.4
549,Les Cazetiers Premier Cru,France,126.27272727272728
550,Ripe al Convento Riserva,Italy,126.0
551,Hochheimer Kirchenstück Eiswein,Germany,126.0
552,Erbacher Michelmark Auslese,Germany,126.0
553,Ancient Vine Angelica,US,126.0
554,The Freedom 1843,Australia,125.33333333333331
555,La Presa One South,US,125.0
556,Ürziger Würzgarten Eiswein,Germany,125.0
557,Capela Vintage,Portugal,125.0
558,Vintners Special Estate Reserve,US,125.0
559,Meteor Vineyard,US,125.0
560,Core Stone,US,125.0
561,40-years Old Tawny,Portugal,125.0
562,Religion,US,125.0
563,Pellet Vineyard Henry's Reserve,US,125.0
564,Franc 'N Stern,US,125.0
565,Celia,Spain,125.0
566,Emily's Paddock Shiraz-Cabernet Franc,Australia,125.0
567,Alexander,US,125.0
568,Doti-Sodaro Block 2,US,125.0
569,The Discussion Estate Grown,US,125.0
570,Aux Échanges Premier Cru,France,125.0
571,Pian delle Vigne Vignaferrovia Riserva,Italy,125.0
572,Avize Grand Cru Blanc de Blancs Brut,France,125.0
573,Coliseum Block,US,125.0
574,Ganymede Vineyard,US,125.0
575,Don Melchor Puente Alto Vineyard,Chile,125.0
576,The Cornerstone,US,125.0
577,Cannubi Boschis,Italy,125.0
578,To Kalon,US,125.0
579,Branco Colheita,Portugal,125.0
580,Sleeping Lady Vineyard,US,125.0
581,Limited Release Cold Springs Vineyard,US,125.0
582,Gran Reserva 890,Spain,125.0
583,Vita,US,125.0
584,30th Anniversary Cuvée Estate Vineyard,US,125.0
585,Franc 'n Stern,US,125.0
586,La Sangre de Jonata,US,125.0
587,Ossidiana,US,125.0
588,Nolandra,France,125.0
589,Cinghiale Vineyard Reserve,US,125.0
590,S.L.V. Estate,US,125.0
591,Prestige 50 Palo Cortado Viejísimo,Spain,125.0
592,Five Seventy Five OVX G Major 7 Study,US,125.0
593,Fortune Teller,US,125.0
594,Rubissow-Sargent Reserve,US,125.0
595,Cambium,US,125.0
596,El Alma de Jonata,US,125.0
597,Zwischen den Seen Nummer 10 Trockenbeerenauslese,Austria,125.0
598,Estate Moose Valley Vineyard,US,125.0
599,Valdegatiles,Spain,125.0
600,Rattlesnake Hill Estate Bottled,US,125.0
601,Testamatta Vigna di Lamole,Italy,125.0
602,Vinified and Bottled on L'Ormarins,South Africa,125.0
603,Cinghiale Vineyard Family Reserve,US,125.0
604,Gratitude Vineyard,US,125.0
605,Graveyard Vineyard,Australia,125.0
606,Moment of Truth,US,125.0
607,Cuvée Claire,US,125.0
608,Clos Saint Jacques Premier Cru,France,125.0
609,Eternity,US,125.0
610,Récolte Grand Cru,US,125.0
611,Recher Herrenberg,Germany,125.0
612,Preve Riserva,Italy,125.0
613,Beaux-Monts Premier Cru,France,125.0
614,M. Coz,US,125.0
615,Vinha da Ponte,Portugal,125.0
616,El Desafio de Jonata,US,125.0
617,Black Diamonds,US,125.0
618,Adrianna Vineyard,Argentina,124.875
619,La Doriane,France,124.25
620,Riserva Sergio Zenato,Italy,124.25
621,Schlossberg R  Erste Lage GG,Germany,124.0
622,Aux Boudots Premier Cru,France,124.0
623,Argentino,Argentina,123.9
624,Réserve de l'Obédience Les Blanchots Grand Cru,France,123.75
625,Marias da Malhadinha,Portugal,123.66666666666669
626,Cincuenta y Cinco,Argentina,123.33333333333331
627,Grand Cru Goldert Gueberschwihr Vendange Tardive,France,123.0
628,Heimbourg Turckheim Vendange Tardive,France,123.0
629,Rotenberg Wintzenheim Vendange Tardive,France,123.0
630,Montosoli,Italy,122.83333333333331
631,Meshach,Australia,122.5
632,La Cumbre,Chile,122.5
633,Camartina,Italy,122.44444444444444
634,Les Suchots Premier Cru,France,122.44444444444444
635,Castillo Ygay Gran Reserva Especial,Spain,122.4
636,Finca Bella Vista,Argentina,122.4
637,Command Single Vineyard,Australia,122.0
638,Le Clos Blanc de Vougeot Premier Cru Monopole,France,122.0
639,Will Jarvis' Science Project,US,121.66666666666669
640,Grace Vineyard,US,121.66666666666669
641,Calvario,Spain,121.5
642,Rosalack Auslese,Germany,121.0
643,Finca Altamira,Argentina,121.0
644,Tomahawk Vineyard,US,120.83333333333331
645,Obsidian,US,120.71428571428572
646,Domaine des Perdrix Les 8 Ouvrées Aux Perdrix Premier Cru,France,120.5
647,Percristina,Italy,120.0
648,Pergole Vece,Italy,120.0
649,Hughes,US,120.0
650,Real de Asúa Reserva,Spain,120.0
651,Aux Perdrix Premier Cru,France,120.0
652,Gran Vu Blend,Argentina,120.0
653,Les Saint-Georges Premier Cru,France,120.0
654,Campo alla Sughera,Italy,120.0
655,Labyrinth 9906 Megas Oenos,Greece,120.0
